filename,original_class,psa_mean_power,psa_low_high_ratio,psa_prelim_class_guess,error
1237651758284999323.jpg,STAR,580519513.9814805,48.480513488944055,STAR,
1237651758284999326.jpg,STAR,458215709.23654336,42.84348594845113,STAR,
1237651758284999348.jpg,STAR,263754809.44259858,31.015771409957146,STAR,
1237651758284999319.jpg,STAR,531665357.9907311,44.60329876058307,STAR,
1237651758284999325.jpg,STAR,847456739.0369304,61.83782625088187,STAR,
1237651758284999317.jpg,STAR,930219312.9993328,51.18735960603268,STAR,
1237651758284999318.jpg,STAR,604384393.9532243,40.43823611482903,STAR,
1237651758285000990.jpg,STAR,363982857.7482072,32.335484497654996,STAR,
1237651758285001724.jpg,STAR,118842584.43086138,15.606319957830337,STAR,
1237651758284996827.jpg,STAR,496333169.5996238,25.05064358420221,STAR,
1237651758285000993.jpg,STAR,576448933.2688522,36.98765476378788,STAR,
1237651758284999324.jpg,STAR,586725014.2093676,42.39483679901121,STAR,
1237651758285000992.jpg,STAR,622294343.0637732,39.295133968288944,STAR,
1237651758284996856.jpg,STAR,439452697.97157764,30.799381948118363,STAR,
1237651758284999327.jpg,STAR,851656783.7171305,68.0889484042809,STAR,
1237651758284996838.jpg,STAR,511429753.4263575,29.65809401241006,STAR,
1237651758284999322.jpg,STAR,793668423.693151,59.821481935676076,STAR,
1237651758285000991.jpg,STAR,506523967.1787804,37.5611595332675,STAR,
1237651758284999391.jpg,STAR,261320810.6664,29.020293099900456,STAR,
1237651758284999332.jpg,STAR,620095635.1625392,38.74247998825607,STAR,
1237651758285001740.jpg,STAR,385926390.73044074,29.881337734931055,STAR,
1237651758285001739.jpg,STAR,320144639.9255352,20.234652389857036,STAR,
1237651758284996820.jpg,STAR,885561560.904785,55.963877406657026,STAR,
1237651758284996870.jpg,STAR,814550136.5038142,33.987104681501776,STAR,
1237651758284999388.jpg,STAR,123255388.45195493,31.085899385423676,STAR,
1237651758284996882.jpg,STAR,665871533.3938934,59.55674650816762,STAR,
1237651758284999331.jpg,STAR,355668459.78962684,50.46482470246163,STAR,
1237651758284996814.jpg,STAR,958870345.4313755,31.561663080164855,STAR,
1237651758284996837.jpg,STAR,1233701289.3310363,46.77179403424408,STAR,
1237651758284999320.jpg,STAR,364366226.52435833,41.56191559529514,STAR,
1237651758284999389.jpg,STAR,146821711.02327713,19.316064373727176,STAR,
1237651758285001703.jpg,STAR,358730561.3316719,38.94077749132281,STAR,
1237651758284999330.jpg,STAR,144079758.59835416,16.556857600377814,STAR,
1237651758285002452.jpg,STAR,146900975.08328053,15.536594346282007,STAR,
1237651758284999321.jpg,STAR,117186601.7617094,17.440740831789576,STAR,
1237651758284999329.jpg,STAR,187079683.32191378,27.613096045997423,STAR,
1237651758284999301.jpg,STAR,204823622.06055132,19.83181672231383,STAR,
1237651758284999328.jpg,STAR,312408252.89841056,47.326192264246565,STAR,
1237651758284996832.jpg,STAR,1226299118.2558682,67.58770253911071,STAR,
1237651758284996884.jpg,STAR,1272830872.5740206,69.05582220893494,STAR,
1237651758284996806.jpg,STAR,593119927.6679002,61.57714992204641,STAR,
1237651758285002227.jpg,STAR,256722265.56567025,21.311515779857242,STAR,
1237651758284996850.jpg,STAR,1232118770.289733,67.31239179841045,STAR,
1237651758284996810.jpg,STAR,1494678379.6198962,55.15643106169337,STAR,
1237651758284999312.jpg,STAR,145082983.84350258,26.029132574568127,STAR,
